order_id;order_line_id;order_ts;customer_id;seller_id;product_id;quantity;unit_price;discount_amount;currency;shipping_country;payment_method;order_status;shipping_address;promo_code;channel
ORD-20260603-00000;ORD-20260603-00000-1;2026-06-03 12:34:45;C012229;S0004;P007554;3;224,53;0,00;EUR;BE;CARD;DELIVERED;88 allée des Peupliers, 4000 Liège;FREESHIP;MOBILE_APP
ORD-20260603-00001;ORD-20260603-00001-1;2026-06-03 17:13:11;C011402;S0016;P003152;3;11,78;5,30;EUR;FR;CARD;delivered;2 avenue des Tilleuls, 59000 Lille;;WEB
ORD-20260603-00002;ORD-20260603-00002-1;2026-06-03 20:00:37;C000465;S0472;P005985;2;22,38;0,00;EUR;ES;CARD;DELIVERED;97 rue de la République, 08001 Barcelone;;MOBILE_APP
ORD-20260603-00002;ORD-20260603-00002-2;2026-06-03 20:00:37;C000465;S0395;P000999;-1;83,74;0,00;EUR;ES;CARD;delivered;97 rue de la République, 08001 Barcelone;;MOBILE_APP
ORD-20260603-00002;ORD-20260603-00002-3;2026-06-03 20:00:37;C000465;S0065;P001287;1;173,08;0,00;EUR;ES;CARD;DELIVERED;97 rue de la République, 08001 Barcelone;;MOBILE_APP
ORD-20260603-00003;ORD-20260603-00003-1;2026-06-03 20:47:07;C000133;S0370;P005558;1;42,07;0,00;EUR;IT;CARD;SHIPPED;151 cours Gambetta, 20121 Milan;FREESHIP;WEB
ORD-20260603-00003;ORD-20260603-00003-2;2026-06-03 20:47:07;C000133;S0209;P000033;1;64,15;0,00;EUR;IT;CARD;SHIPPED;151 cours Gambetta, 20121 Milan;FREESHIP;WEB
ORD-20260603-00003;ORD-20260603-00003-3;2026-06-03 20:47:07;C000133;S0216;P004380;1;69,40;3,47;EUR;IT;CARD;SHIPPED;151 cours Gambetta, 20121 Milan;FREESHIP;WEB
ORD-20260603-00004;ORD-20260603-00004-1;2026-06-03 14:57:26;C024328;S0229;P005759;2;85,48;0,00;EUR;FR;CARD;DELIVERED;76 rue de la République, 67000 Strasbourg;;MOBILE_APP
ORD-20260603-00004;ORD-20260603-00004-2;2026-06-03 14:57:26;C024328;S0157;P004782;1;93,26;0,00;EUR;FR;CARD;Delivered;76 rue de la République, 67000 Strasbourg;;MOBILE_APP
ORD-20260603-00005;ORD-20260603-00005-1;2026-06-03 14:20:04;C020979;S0024;P001088;1;45,90;0,00;EUR;DE;APPLEPAY;DELIVERED;168 impasse du Moulin, 20095 Hambourg;;WEB
ORD-20260603-00005;ORD-20260603-00005-2;2026-06-03 14:20:04;C020979;S0341;P000221;1;215,03;32,25;EUR;DE;APPLEPAY;DELIVERED;168 impasse du Moulin, 20095 Hambourg;;WEB
ORD-20260603-00005;ORD-20260603-00005-3;2026-06-03 14:20:04;C020979;S0489;P004185;1;21,98;0,00;EUR;DE;APPLEPAY;DELIVERED;168 impasse du Moulin, 20095 Hambourg;;WEB
